"","breaks","counts","density","mids"
"1",-1,58,0.00736863502388454,-0.95
"2",-0.9,144,0.0182945421282651,-0.85
"3",-0.8,294,0.0373513568452078,-0.75
"4",-0.7,1448,0.183961784734221,-0.65
"5",-0.6,1813,0.230333367212115,-0.55
"6",-0.5,4362,0.554172171968696,-0.45
"7",-0.4,4222,0.536385811566216,-0.35
"8",-0.3,15815,2.009223498323,-0.25
"9",-0.2,6777,0.860986888911475,-0.15
"10",-0.1,6237,0.792382355930481,-0.05
"11",0,6224,0.790730765321678,0.05
"12",0.1,4263,0.541594674255513,0.15
"13",0.2,4356,0.553409899380019,0.25
"14",0.3,4986,0.633448521191177,0.35
"15",0.4,3077,0.39091879256022,0.45
"16",0.5,4932,0.626588067893078,0.55
"17",0.6,3222,0.409340380119931,0.65
"18",0.7,5189,0.659238743774775,0.75
"19",0.8,1212,0.153979062912898,0.85
"20",0.9,81,0.0102906799471491,0.95
