"","breaks","counts","density","mids"
"1",-0.9,64,0.00617832181333745,-0.85
"2",-0.8,194,0.0187280379966791,-0.75
"3",-0.7,339,0.0327257983550218,-0.65
"4",-0.6,665,0.0641966250917095,-0.55
"5",-0.5,1365,0.131772019925088,-0.45
"6",-0.4,2223,0.214600146735143,-0.35
"7",-0.3,3968,0.383055952426922,-0.25
"8",-0.2,7608,0.73444800556049,-0.15
"9",-0.1,36462,3.51990578059235,-0.05
"10",0,22942,2.21473529752481,0.05
"11",0.1,10899,1.0521488975557,0.15
"12",0.2,7501,0.724118623778816,0.25
"13",0.3,4803,0.46366374483531,0.35
"14",0.4,2619,0.252828512955168,0.45
"15",0.5,1233,0.11902923118508,0.55
"16",0.6,502,0.0484612117233656,0.65
"17",0.7,192,0.0185349654400123,0.75
"18",0.8,9,0.00086882650500058,0.85
