"","breaks","counts","density","mids"
"1",-0.7,59,0.00722101192078917,-0.65
"2",-0.6,211,0.0258242968692629,-0.55
"3",-0.5,667,0.0816341517146844,-0.45
"4",-0.4,1591,0.194722541796196,-0.35
"5",-0.3,3232,0.39556458522018,-0.25
"6",-0.2,5608,0.686363302572638,-0.15
"7",-0.1,19653,2.40533130981813,-0.05
"8",0,30632,3.74905147724769,0.05
"9",0.1,11193,1.36991163439649,0.15
"10",0.2,5134,0.628350427141214,0.25
"11",0.3,2422,0.296428658850023,0.35
"12",0.4,901,0.110273419332729,0.45
"13",0.5,353,0.0432036814921793,0.55
"14",0.6,49,0.00599711159523168,0.65
"15",0.7,1,0.000122390032555749,0.75
