"","breaks","counts","density","mids"
"1",-1,158,0.00592912815547825,-0.95
"2",-0.9,492,0.0184628547626285,-0.85
"3",-0.8,1560,0.0585407590034561,-0.75
"4",-0.7,2357,0.0884490826738117,-0.65
"5",-0.6,3620,0.135844581790071,-0.55
"6",-0.5,5882,0.220728682345083,-0.45
"7",-0.4,9556,0.358599675023735,-0.35
"8",-0.3,15333,0.575388113974355,-0.25
"9",-0.2,23393,0.877848702158878,-0.15
"10",-0.1,172325,6.46668993286576,-0.05
"11",0,13995,0.525178155290621,0.05
"12",0.1,6833,0.256416029660651,0.15
"13",0.2,5036,0.188981578423978,0.25
"14",0.3,2981,0.111865386275194,0.35
"15",0.4,1788,0.0670967160885768,0.45
"16",0.5,949,0.0356122950604358,0.55
"17",0.6,223,0.00836832644728893,0.65
