"","breaks","counts","density","mids"
"1",-1,799,0.0461430955722264,-0.95
"2",-0.9,651,0.0375959389455812,-0.85
"3",-0.8,1046,0.0604076069693977,-0.75
"4",-0.7,2232,0.128900362099136,-0.65
"5",-0.6,3685,0.212812649791807,-0.55
"6",-0.5,5497,0.317457567409923,-0.45
"7",-0.4,10296,0.594604896134722,-0.35
"8",-0.3,12331,0.712128299751093,-0.25
"9",-0.2,17583,1.01543685788042,-0.15
"10",-0.1,59800,3.45351328563096,-0.05
"11",0,32833,1.89614049677461,0.0499999999999999
"12",0.0999999999999999,11637,0.672049065299121,0.15
"13",0.2,5457,0.315147525078397,0.25
"14",0.3,2991,0.172733415339836,0.35
"15",0.4,1817,0.104933672909556,0.45
"16",0.5,1489,0.085991325791045,0.55
"17",0.6,2075,0.119833445947897,0.65
"18",0.7,785,0.0453345807561924,0.75
"19",0.8,153,0.00883591191808588,0.85
