"","breaks","counts","density","mids"
"1",-0.9,10,0.000836281224650226,-0.85
"2",-0.8,108,0.00903183722622244,-0.75
"3",-0.7,315,0.0263428585764821,-0.65
"4",-0.6,795,0.0664843573596929,-0.55
"5",-0.5,1534,0.128285539861345,-0.45
"6",-0.4,2695,0.225377790043236,-0.35
"7",-0.3,4037,0.337606730391296,-0.25
"8",-0.2,6817,0.570092910844059,-0.15
"9",-0.1,26179,2.18930061801182,-0.05
"10",0,32428,2.71189275529575,0.0499999999999999
"11",0.0999999999999999,18388,1.53775391588683,0.15
"12",0.2,11429,0.955785811652742,0.25
"13",0.3,5296,0.44289453657476,0.35
"14",0.4,3289,0.275052894787459,0.45
"15",0.5,2185,0.182727447586074,0.55
"16",0.6,1902,0.159060688928473,0.65
"17",0.7,1299,0.108632931082064,0.75
"18",0.8,538,0.0449919298861822,0.85
"19",0.9,333,0.0278481647808524,0.95
