"","breaks","counts","density","mids"
"1",-1,118,0.0149913609106617,-0.95
"2",-0.9,473,0.0600924890740929,-0.85
"3",-0.8,1042,0.132381339567029,-0.75
"4",-0.7,2187,0.277848358573026,-0.65
"5",-0.6,2325,0.295380628112613,-0.55
"6",-0.5,2630,0.33412948470373,-0.45
"7",-0.4,3108,0.394857200935054,-0.35
"8",-0.3,6462,0.820967578005895,-0.25
"9",-0.2,13815,1.75513263543043,-0.15
"10",-0.1,10459,1.3287681674967,-0.05
"11",0,5668,0.720093505437544,0.05
"12",0.1,3845,0.488489683910966,0.15
"13",0.2,3118,0.396127655249518,0.25
"14",0.3,3208,0.407561744079683,0.35
"15",0.4,2626,0.333621302977945,0.45
"16",0.5,2477,0.314691533692448,0.55
"17",0.6,3495,0.444023782904766,0.65
"18",0.7,4201,0.533717857505845,0.75
"19",0.8,5389,0.68464783006403,0.85
"20",0.9,2066,0.262475861368026,0.95
