"","breaks","counts","density","mids"
"1",-1,1,9.65353464170906e-05,-0.95
"2",-0.9,66,0.00637133286352798,-0.85
"3",-0.8,222,0.0214308469045941,-0.75
"4",-0.7,463,0.044695865391113,-0.65
"5",-0.6,794,0.07664906505517,-0.55
"6",-0.5,1326,0.128005869349062,-0.45
"7",-0.4,2459,0.237380416839626,-0.35
"8",-0.3,4193,0.404772707526861,-0.25
"9",-0.2,7482,0.722277461892672,-0.15
"10",-0.1,39232,3.7872747106353,-0.05
"11",0,18263,1.76302503161532,0.05
"12",0.1,9731,0.939385455984708,0.15
"13",0.2,6503,0.627769357750341,0.25
"14",0.3,4664,0.45024085568931,0.35
"15",0.4,3206,0.309492320613193,0.45
"16",0.5,2368,0.22859570031567,0.55
"17",0.6,1461,0.141038141115369,0.65
"18",0.7,795,0.0767456004015871,0.75
"19",0.8,350,0.0337873712459817,0.85
"20",0.9,10,0.000965353464170907,0.95
