"","breaks","counts","density","mids"
"1",-0.9,13,0.00158972791195353,-0.85
"2",-0.8,63,0.00770406603485172,-0.75
"3",-0.7,110,0.013451543870376,-0.65
"4",-0.6,264,0.0322837052889025,-0.55
"5",-0.5,566,0.0692143075512076,-0.45
"6",-0.4,1236,0.151146438398043,-0.35
"7",-0.3,2753,0.336655457046775,-0.25
"8",-0.2,5666,0.692876796086824,-0.15
"9",-0.1,15931,1.94815041271782,-0.05
"10",0,38839,4.74949556710486,0.05
"11",0.1,10311,1.26089880770406,0.15
"12",0.2,3780,0.462243962091103,0.25
"13",0.3,1581,0.193335371446041,0.35
"14",0.4,503,0.0615102415163558,0.45
"15",0.5,136,0.0166309996942831,0.55
"16",0.6,23,0.00281259553653317,0.65
