"","breaks","counts","density","mids"
"1",-1,410,0.0153857123021904,-0.95
"2",-0.9,928,0.0348242463815432,-0.85
"3",-0.8,1495,0.0561015607116454,-0.75
"4",-0.7,2425,0.0910008593483213,-0.65
"5",-0.6,3560,0.133593014136092,-0.55
"6",-0.5,4986,0.187105272045662,-0.45
"7",-0.4,7977,0.299345919596519,-0.35
"8",-0.3,12765,0.47902101838405,-0.25
"9",-0.2,19438,0.72943286763409,-0.15
"10",-0.1,171659,6.44169753190659,-0.05
"11",0,15423,0.578765465455323,0.05
"12",0.1,7302,0.274015783489254,0.15
"13",0.2,5109,0.191720985736319,0.25
"14",0.3,4054,0.152130921153853,0.35
"15",0.4,4591,0.172282451656966,0.45
"16",0.5,3932,0.147552733590762,0.55
"17",0.6,427,0.0160236564708178,0.65
