"","breaks","counts","density","mids"
"1",-0.7,4,0.000231120355925348,-0.65
"2",-0.6,41,0.00236898364823482,-0.55
"3",-0.5,219,0.0126538394869128,-0.45
"4",-0.4,899,0.051944299994222,-0.35
"5",-0.3,3050,0.176229271393078,-0.25
"6",-0.2,8181,0.472698907956318,-0.15
"7",-0.1,70099,4.05032645750275,-0.05
"8",0,26474,1.52967007569192,0.05
"9",0.1,16084,0.929334951175825,0.15
"10",0.2,10554,0.609811059109031,0.25
"11",0.3,9618,0.555728895822499,0.35
"12",0.4,10689,0.617611371121511,0.45
"13",0.5,7291,0.421274628762929,0.55
"14",0.6,5032,0.290749407754088,0.65
"15",0.7,4358,0.251805627780667,0.75
"16",0.8,477,0.0275611024440977,0.85
