"","breaks","counts","density","mids"
"1",-1,71,0.00593734843036578,-0.95
"2",-0.9,454,0.037965580104029,-0.85
"3",-0.8,967,0.0808650131290662,-0.75
"4",-0.7,1536,0.128447425197772,-0.65
"5",-0.6,2275,0.190246023649044,-0.55
"6",-0.5,2737,0.228880600759311,-0.45
"7",-0.4,3275,0.273870649428844,-0.35
"8",-0.3,4488,0.375307320499741,-0.25
"9",-0.2,7320,0.612132260708134,-0.15
"10",-0.1,25645,2.14455352812296,-0.05
"11",0,30727,2.5695338763359,0.05
"12",0.1,16227,1.35697680252881,0.15
"13",0.2,8876,0.742252178421502,0.25
"14",0.3,4669,0.390443377765884,0.35
"15",0.4,2882,0.241006171497383,0.45
"16",0.5,2259,0.188908029636567,0.55
"17",0.6,1666,0.139318626549146,0.65
"18",0.7,1608,0.134468398253918,0.75
"19",0.8,1714,0.143332608586576,0.85
"20",0.9,186,0.0155541803950428,0.95
